datetime	open	high	low	close	volume
18.06.2024 00:00	7125	7160	6934	6934	16
24.06.2024 00:00	6889	6889	6888	6888	20
01.07.2024 00:00	6888	7050	6710	7050	8
02.07.2024 00:00	6500	6899	6087	6889	87
03.07.2024 00:00	6850	6850	6850	6850	1
04.07.2024 00:00	6601	6662	6601	6603	6
05.07.2024 00:00	6406	6406	6405	6405	2
08.07.2024 00:00	6250	6250	6250	6250	3
09.07.2024 00:00	6005	6012	6005	6012	22
10.07.2024 00:00	6070	6409	5886	6010	1399
11.07.2024 00:00	6070	6420	6070	6379	84
12.07.2024 00:00	6401	6401	6152	6270	25
15.07.2024 00:00	6290	6310	6015	6160	22
16.07.2024 00:00	6010	6250	6010	6221	22
17.07.2024 00:00	6171	6320	6058	6058	43
18.07.2024 00:00	6210	6398	5914	6195	234
19.07.2024 00:00	6330	6360	6268	6268	6
22.07.2024 00:00	6389	6420	6269	6363	40
23.07.2024 00:00	6382	6382	6310	6310	24
24.07.2024 00:00	6480	6488	6370	6370	20
25.07.2024 00:00	6360	6549	6360	6431	28
26.07.2024 00:00	6629	6670	6173	6193	141
29.07.2024 00:00	5921	5999	5800	5800	60
30.07.2024 00:00	5805	6105	5677	5946	160
31.07.2024 00:00	6087	6094	6087	6094	13
01.08.2024 00:00	6120	6156	5985	6156	14
02.08.2024 00:00	5900	5975	5863	5975	27
05.08.2024 00:00	5703	6446	5703	5761	101
06.08.2024 00:00	5899	5979	5682	5682	113
07.08.2024 00:00	5705	5705	5192	5532	1325
08.08.2024 00:00	5444	5569	5301	5439	97
09.08.2024 00:00	5429	5488	5315	5315	57
12.08.2024 00:00	5334	5451	5334	5451	64
13.08.2024 00:00	5450	5544	5400	5496	76
14.08.2024 00:00	5500	5700	5434	5434	37
15.08.2024 00:00	5361	5364	5225	5225	45
16.08.2024 00:00	5317	5441	5260	5300	57
19.08.2024 00:00	5304	5409	5180	5201	27
20.08.2024 00:00	5344	5362	5211	5286	20
21.08.2024 00:00	5214	5234	5122	5234	28
22.08.2024 00:00	5165	5165	5010	5012	90
23.08.2024 00:00	5014	5014	4104	4950	69
26.08.2024 00:00	5040	5181	4952	5169	30
27.08.2024 00:00	5149	5166	5149	5166	6
28.08.2024 00:00	5102	5379	5056	5287	79
29.08.2024 00:00	5206	5325	5203	5268	54
30.08.2024 00:00	5205	5205	5000	5000	178
02.09.2024 00:00	4935	5053	4776	4799	202
03.09.2024 00:00	4770	4953	4770	4853	16
04.09.2024 00:00	4939	5089	4865	4910	47
05.09.2024 00:00	4924	5200	4915	5109	55
06.09.2024 00:00	4922	5000	4922	4960	59
09.09.2024 00:00	5033	5381	4997	5381	92
10.09.2024 00:00	5450	5577	4985	5216	207
11.09.2024 00:00	5061	5122	4906	5055	303
12.09.2024 00:00	5021	5197	4914	5158	35
13.09.2024 00:00	4964	5050	4870	5011	170
16.09.2024 00:00	5051	5168	5014	5168	211
17.09.2024 00:00	5202	5411	5180	5380	207
18.09.2024 00:00	5371	5470	5300	5362	30
19.09.2024 00:00	5491	5571	5452	5540	22
20.09.2024 00:00	5501	5588	5501	5586	69
23.09.2024 00:00	5596	5891	5594	5891	379
24.09.2024 00:00	5891	5899	5708	5746	134
25.09.2024 00:00	5688	5866	5653	5716	368
26.09.2024 00:00	5697	5699	5608	5640	242
27.09.2024 00:00	5657	5787	5628	5755	267
30.09.2024 00:00	5785	5879	5735	5735	282
01.10.2024 00:00	5735	5737	5655	5708	225
02.10.2024 00:00	5693	5735	5550	5587	224
03.10.2024 00:00	5575	5601	5436	5579	178
04.10.2024 00:00	5607	5607	5517	5590	168
07.10.2024 00:00	5600	5672	5570	5616	534
08.10.2024 00:00	5629	5636	5566	5619	200
09.10.2024 00:00	5620	5693	5605	5693	735
10.10.2024 00:00	5695	5730	5650	5730	574
11.10.2024 00:00	5710	5812	5674	5774	999
14.10.2024 00:00	5812	5970	5800	5935	472
15.10.2024 00:00	5926	6100	5917	6046	776
16.10.2024 00:00	6050	6071	5924	5994	221
17.10.2024 00:00	5975	6026	5882	5889	276
18.10.2024 00:00	5898	6032	5885	6032	530
21.10.2024 00:00	6042	6149	6002	6020	871
22.10.2024 00:00	6059	6094	6000	6026	519
23.10.2024 00:00	6023	6023	5900	5903	360
24.10.2024 00:00	5907	5952	5869	5952	452
25.10.2024 00:00	5943	6053	5800	5830	1193
28.10.2024 00:00	5786	5788	5570	5660	1230
29.10.2024 00:00	5670	5895	5600	5831	1031
30.10.2024 00:00	5825	5967	5600	5600	1037
31.10.2024 00:00	5577	5700	5550	5613	687
01.11.2024 00:00	5659	5734	5600	5710	357
02.11.2024 00:00	5717	5847	5677	5844	261
05.11.2024 00:00	5848	5848	5703	5776	679
06.11.2024 00:00	5900	6208	5819	5911	1675
07.11.2024 00:00	5931	6342	5860	6216	1708
08.11.2024 00:00	6220	6400	6145	6400	1108
11.11.2024 00:00	6411	6536	6400	6500	901
12.11.2024 00:00	6447	6472	6323	6330	1055
13.11.2024 00:00	6328	6516	6327	6422	1542
14.11.2024 00:00	6443	6500	6421	6437	551
15.11.2024 00:00	6437	6731	6437	6687	2213
